# 
# this is randomly generated data to test the convolution fitter
# created using: https://github.com/ILLGrenoble/takin/blob/master/data/demos/magnon_fm/create_random_data.py
# 
# sample_a     = 5
# sample_b     = 5
# sample_c     = 5
# 
# sample_alpha = 90
# sample_beta  = 90
# sample_gamma = 90
# 
# mono_d       = 3.355
# ana_d        = 3.355
# 
# sense_m      = +1
# sense_s      = -1
# sense_a      = +1
# 
# orient1_x    = 1
# orient1_y    = 0
# orient1_z    = 0
# 
# orient2_x    = 0
# orient2_y    = 1
# orient2_z    = 0
# 
# is_ki_fixed  = 0
# k_fix        = 2.662
# 
# col_h        = 1
# col_k        = 2
# col_l        = 3
# col_E        = 4
# cols_scanned = 4
# col_ctr      = 5
# col_ctr_err  = 6
# col_mon      = 7
# col_mon_err  = 8
# 
1.2 1 0 -5 8 2.828 1e+04 100
1.2 1 0 -4.677 14 3.742 1e+04 100
1.2 1 0 -4.355 11 3.317 1e+04 100
1.2 1 0 -4.032 6 2.449 1e+04 100
1.2 1 0 -3.71 11 3.317 1e+04 100
1.2 1 0 -3.387 14 3.742 1e+04 100
1.2 1 0 -3.065 7 2.646 1e+04 100
1.2 1 0 -2.742 10 3.162 1e+04 100
1.2 1 0 -2.419 11 3.317 1e+04 100
1.2 1 0 -2.097 12 3.464 1e+04 100
1.2 1 0 -1.774 18 4.243 1e+04 100
1.2 1 0 -1.452 39 6.245 1e+04 100
1.2 1 0 -1.129 45 6.708 1e+04 100
1.2 1 0 -0.8065 49 7 1e+04 100
1.2 1 0 -0.4839 33 5.745 1e+04 100
1.2 1 0 -0.1613 36 6 1e+04 100
1.2 1 0 0.1613 45 6.708 1e+04 100
1.2 1 0 0.4839 89 9.434 1e+04 100
1.2 1 0 0.8065 125 11.18 1e+04 100
1.2 1 0 1.129 121 11 1e+04 100
1.2 1 0 1.452 86 9.274 1e+04 100
1.2 1 0 1.774 39 6.245 1e+04 100
1.2 1 0 2.097 24 4.899 1e+04 100
1.2 1 0 2.419 12 3.464 1e+04 100
1.2 1 0 2.742 4 2 1e+04 100
1.2 1 0 3.065 4 2 1e+04 100
1.2 1 0 3.387 14 3.742 1e+04 100
1.2 1 0 3.71 11 3.317 1e+04 100
1.2 1 0 4.032 10 3.162 1e+04 100
1.2 1 0 4.355 14 3.742 1e+04 100
1.2 1 0 4.677 8 2.828 1e+04 100
1.2 1 0 5 15 3.873 1e+04 100
